iter	Passed	Remaining
574	19625	14505
575	19669	14479
576	19711	14450
577	19808	14462
578	19832	14420
579	19850	14374
580	19862	14324
581	1987579	1952582	1990580	19610	14142
581	19631	14099
582	19643	14050
583	1965586	2002584	19787	14037
585	19837	14015
586	19906	14005
587	20108	14089
588	20233	14118
589	20272	14087
590	20296	14046
591	20339	14017
592	20563	14113
593	20647	14112
594	20731	14111
595	20762	14073
596	20772	14022
597	20784	13972
598	20803	13926
599	20837	13891
600	20867	13854
601	20883	13806
602	20900	13760
603	20953	13737
604	20960	13684
605	20973	13636
606	20992	13591
607	21004	13542
608	21020	13495
609	21029	13445
610	21042	13396
611	21055	13348
612	21073	13303
613	21083	13254
614	21141	13234
615	21148	13183
616	21165	13138
617	21190	13098
618	21231	13068
619	21289	13048
620	21309	13005
621	21337	12967
622	21342	12915
623	21346	12862
624	21349	12809
625	21354	12758
626	21456	12764
627	21497	12734
628	21520	12693
629	21524	12641
630	21527	12589
631	21533	12538
632	21537	12487
633	21541	12435
634	21682	12462
635	21703	12421
636	21723	12379
637	21739	12334
638	21775	12302
639	21798	12261
640	21895	12262
641	21899	12211
642	21904	12161
643	21908	12111
644	22221	12230
645	22251	12193
646	22276	12153
647	22302	12114
648	22363	12095
649	22397	12060
650	22423	12021
651	22451	11983
652	22502	11957
653	22515	11911
654	22573	11889
655	22607	11854
656	22642	11820
657	22674	11785
658	22698	11745
659	22710	11699
660	22715	11649
661	22728	11604
662	22752	11564
663	22777	11525
664	22949	11561
665	22976	11522
666	22993	11479
667	23013	11437
668	23031	11395
669	23043	11349
670	23070	11311
671	23081	11266
672	23086	11217
673	23090	11168
674	23232	11186
675	23244	11140
676	23259	11097
677	23279	11056
678	23292	11011
679	23298	10964
680	23306	10917
681	23318	10872
682	23336	10831
683	23394	10807
684	23404	10762
685	23416	10718
686	23431	10675
687	23440	10630
688	23462	10590
689	23474	10546
690	23487	10503
691	23506	10462
692	23561	10437
693	23578	10396
694	23605	10359
695	23613	10313
696	23630	10272
697	23643	10229
698	23657	10187
699	23669	10143
700	23675	10098
701	23694	10058
702	23700	10012
703	23775	9996
704	23790	9954
705	23866	9938
706	24053	9968
707	24105	9941
708	24184	9926
709	24235	9898
710	24251	9857
711	24255	9811
712	24259	9764
713	24262	9718
714	24266	9672
715	24427	9689
716	24470	9658
717	24481	9615
718	24513	9580
719	24531	9540
720	24574	9509
721	24615	9478
722	24668	9451
723	24705	9418
724	24768	9394
725	24855	9380
726	24919	9357
727	24925	9312
728	24943	9272
729	24952	9229
730	24964	9186
731	24969	9141
732	24980	9099
733	24990	9056
734	25004	9015
735	25022	8975
736	25131	8968
737	25176	8937
738	25181	8893
739	25189	8850
740	25215	8813
741	25250	8779
742	25268	8740
743	25301	8705
744	25345	8675
745	25489	8678
746	25507	8639
747	25557	8610
748	25575	8570
749	25596	8532
750	25614	8492
751	25625	8451
752	25639	8410
753	25653	8369
754	25664	8328
755	25701	8295
756	25720	8256
757	25739	8217
758	26038	8267
759	26042	8223
760	26045	8180
761	26049	8136
762	26053	8092
763	26057	8049
764	26183	8043
765	26204	8004
766	26223	7966
767	26266	7934
768	26279	7894
769	26304	7857
770	26309	7814
771	26314	7771
772	26319	7729
773	26472	7729
774	26528	7701
775	26556	7665
776	26580	7628
777	26636	7600
778	26679	7569
779	26695	7529
780	26719	7492
781	26732	7452
782	26749	7413
783	26788	7380
784	26829	7348
785	26850	7310
786	26866	7271
787	26871	7229
788	26888	7190
789	26908	7152
790	26925	7114
791	26933	7073
792	26973	7041
793	27006	7006
794	27029	6969
795	27045	6931
796	27056	6891
797	27093	6858
798	27114	6821
799	27126	6781
800	27143	6743
801	27161	6705
802	27177	6667
803	27181	6626
804	27192	6587
805	27206	6548
806	27219	6509
807	27252	6475
808	27426	6475
809	27437	6435
810	27452	6397
811	27474	6361
812	27488	6322
813	27516	6287
814	27537	6250
815	27546	6211
816	27553	6171
817	27565	6133
818	27570	6093
819	27581	6054
820	27588	6015
821	27604	5977
822	27611	5938
823	27628	5901
824	27681	5871
825	27697	5834
826	27711	5796
827	27786	5772
828	27923	5759
829	28009	5736
830	28112	5717
831	28126	5679
832	28137	5640
833	28159	5604
834	28179	5568
835	28187	5529
836	28223	5496
837	28553	5519
838	28564	5481
839	28577	5443
840	28595	5406
841	28625	5371
842	28647	5335
843	28656	5296
844	28685	5261
845	28699	5224
846	28714	5186
847	28733	5150
848	28745	5112
849	28763	5075
850	28780	5039
851	28918	5023
852	28940	4987
853	28957	4950
854	28977	4914
855	28987	4876
856	28995	4838
857	29009	4801
858	29015	4762
859	29022	4724
860	29029	4686
861	29034	4648
862	29040	4610
863	29046	4572
864	29056	4534
865	29393	4548
866	29478	4522
867	29525	4490
868	29576	4458
869	29593	4422
870	29610	4385
871	29632	4349
872	29654	4313
873	29676	4278
874	30001	4285
875	30022	4249
876	30056	4215
877	30103	4182
878	30134	4148
879	30145	4110
880	30159	4073
881	30187	4038
882	30236	4006
883	30268	3971
884	30316	3939
885	30338	3903
886	30352	3866
887	30370	3830
888	30381	3793
889	30387	3755
890	30398	3718
891	30419	3683
892	30433	3646
893	30446	3609
894	30467	3574
895	30636	3556
896	30643	3518
897	30652	3481
898	30656	3444
899	30660	3406
900	30664	3369
901	30668	3332
902	30672	3294
903	30676	3257
904	30680	3220
905	30758	3191
906	30790	3157
907	30803	3121
908	30818	3085
909	30824	3048
910	30839	3012
911	30862	2977
912	30873	2941
913	30894	2906
914	30923	2872
915	30941	2837
916	30956	2801
917	30977	2767
918	30982	2730
919	30990	2694
920	30996	2658
921	31000	2622
922	31015	2587
923	31031	2552
924	31055	2518
925	31249	2497
926	31286	2463
927	31304	2428
928	31312	2393
929	31328	2358
930	31348	2323
931	31361	2288
932	31365	2252
933	31373	2217
934	31385	2181
935	31412	2147
936	31460	2115
937	31498	2082
938	31510	2047
939	31531	2012
940	31550	1978
941	31564	1943
942	31582	1909
943	31586	1873
944	31599	1839
945	31610	1804
946	31672	1772
947	31684	1737
948	31697	1703
949	31709	1668
950	31721	1634
951	31728	1599
952	31735	1565
953	31748	1530
954	31764	1496
955	31776	1462
956	31806	1429
957	31841	1395
958	31849	1361
959	31857	1327
960	31868	1293
961	31876	1259
962	31881	1224
963	31888	1190
964	31893	1156
965	31899	1122
966	31925	1089
967	31934	1055
968	31946	1022
969	31959	988
970	31975	954
971	31982	921
972	31992	887
973	32003	854
974	32015	820
975	32026	787
976	32038	754
977	32048	720
978	32055	687
979	32061	654
980	32068	621
981	32074	587
982	32078	554
983	32087	521
984	32091	488
985	32099	455
986	32104	422
987	32109	389
988	32116	357
989	32124	324
990	32132	291
991	32137	259
992	32146	226
993	32154	194
994	32158	161
995	32162	129
996	32167	96
997	32170	64
998	32174	32
999	32180	0
70	32
999	32274	0

999	32568	0
