iter	Logloss
0	0.6825163938
1	0.6720756292
2	0.6609549017
3	0.6509043423
4	0.6427265472
5	0.6330832687
6	0.623709411
7	0.6153806578
8	0.6052582446
9	0.596592364
10	0.5874643523
11	0.5778274126
12	0.5688950745
13	0.5613646655
14	0.5489266724
15	0.5406869385
16	0.532907172
17	0.5248857138
18	0.5166573466
19	0.5090451646
20	0.502831555
21	0.4944313415
22	0.4872142742
23	0.480002316
24	0.4735285875
25	0.467394171
26	0.4605763083
27	0.4527794521
28	0.4458090431
29	0.4404630767
30	0.4335610534
31	0.4276568332
32	0.4217875419
33	0.4164847689
34	0.4103705358
35	0.4045213351
36	0.4004587984
37	0.3958314383
38	0.3909828734
39	0.3863837388
40	0.3810630899
41	0.3765799766
42	0.3716924943
43	0.3670834937
44	0.3620304939
45	0.3569931774
46	0.3520603718
47	0.3476131622
48	0.3430085193
49	0.3387519965
50	0.3353515497
51	0.3314532153
52	0.3272917111
53	0.3234774016
54	0.3197235454
55	0.3155979328
56	0.311822751
57	0.3084418877
58	0.3049273558
59	0.3015992712
60	0.2981619717
61	0.2947562743
62	0.2911346928
63	0.2874444884
64	0.283742113
65	0.2812866588
66	0.2780108872
67	0.2750335323
68	0.2720394157
69	0.2685534442
70	0.2654819183
71	0.2631069142
72	0.2606464843
73	0.2580513411
74	0.2553740073
75	0.2524508571
76	0.2497846071
77	0.2473221455
78	0.2446442055
79	0.2427600533
80	0.2402369516
81	0.2380234
82	0.2357735875
83	0.2329428334
84	0.2306840982
85	0.2288126072
86	0.2267892354
87	0.2246483337
88	0.2222190477
89	0.2200133134
90	0.2179528728
91	0.2157070383
92	0.2139256841
93	0.2121809332
94	0.2100660384
95	0.2078430545
96	0.2054803288
97	0.2033538121
98	0.2008902318
99	0.1990463417
100	0.1974609443
101	0.1957500039
102	0.1937006758
103	0.1916277463
104	0.1899903325
105	0.188431061
106	0.1867416232
107	0.1851248004
108	0.1833564949
109	0.1816928419
110	0.1801268864
111	0.1784755913
112	0.176945576
113	0.1753963321
114	0.1735733466
115	0.1719227548
116	0.170323136
117	0.1689834072
118	0.1674598684
119	0.1658661687
120	0.1644438501
121	0.1630134217
122	0.1616671826
123	0.1604483097
124	0.1593943712
125	0.157924625
126	0.156431194
127	0.1549116158
128	0.1538639591
129	0.1521862706
130	0.1512880734
131	0.1500335006
132	0.1486799308
133	0.1479030251
134	0.1464653241
135	0.1452869453
136	0.1439419681
137	0.1428239822
138	0.1415951407
139	0.140352952
140	0.1392673849
141	0.1383889915
142	0.1373530135
143	0.1366867177
144	0.1356542554
145	0.1347797433
146	0.1337206283
147	0.1331554819
148	0.1321096526
149	0.131004682
150	0.1300836881
151	0.1294242356
152	0.1284044053
153	0.1274912616
154	0.1264522809
155	0.1255347433
156	0.1248950438
157	0.1242835132
158	0.1232808772
